Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Chip,3167,98072,94905,70488,73656,Yes
Swipe,1551,92125,90574,19987,21538,Yes
Swipe,5387,33518,28132,91052,96439,Yes
Swipe,4481,92920,88439,83224,87706,No
Swipe,4023,83953,79929,36857,40880,No
Swipe,5912,37964,32051,65814,71726,No
Chip,3104,20373,17269,38435,41539,No
Swipe,4188,87798,83610,36745,40933,No
Swipe,1173,6766,5592,53414,54588,Yes
Swipe,4132,47704,43573,87453,91585,Yes
Online,1676,18837,17161,84957,86633,No
Online,9075,96756,87681,61284,70358,Yes
Swipe,2377,20558,18181,88599,90977,Yes
Chip,7982,16628,8646,74407,82389,No
Chip,4587,44207,39621,97547,102134,Yes
Chip,2244,18538,16294,10668,12911,No
Chip,3114,48542,45428,85488,88602,No
Chip,7035,37522,30487,57273,64308,Yes
Swipe,2722,99764,97042,25635,28357,Yes
Swipe,6847,63188,56340,83588,90436,No
Chip,9397,69009,59612,84990,94387,Yes
Online,2324,67371,65047,24356,26680,Yes
Chip,434,13172,12738,61227,61661,No
Chip,4473,58818,54345,54655,59128,No
Chip,4014,92744,88730,81808,85822,No
Online,1284,79737,78453,13920,15204,No
Swipe,40,55043,55003,9584,9624,Yes
Swipe,9115,19020,9905,12670,21785,No
Online,3858,24435,20578,4067,7924,No
Online,1225,50802,49578,95934,97158,No
Online,7076,41316,34240,33980,41056,Yes
Online,9107,95576,86469,75247,84354,Yes
Online,6755,9752,2997,66133,72889,Yes
Chip,2526,86104,83578,76290,78816,Yes
Chip,2760,52899,50138,78528,81288,Yes
Swipe,778,92982,92204,15316,16094,Yes
Online,3690,73208,69518,76359,80049,Yes
Swipe,4976,69440,64465,43690,48666,No
Chip,840,76548,75709,72826,73666,Yes
Chip,2170,16619,14449,37213,39383,Yes
Swipe,3455,8605,5150,20422,23878,No
Chip,8997,43024,34027,86023,95020,Yes
Swipe,1133,19515,18382,24823,25956,No
Swipe,3791,45526,41735,79404,83195,Yes
Swipe,1021,95710,94689,15235,16256,Yes
Chip,9094,34706,25611,79975,89070,Yes
Online,8659,69033,60374,17017,25676,No
Chip,3364,22497,19133,85303,88667,Yes
Swipe,6634,59633,52999,59921,66555,No
Chip,3893,17277,13384,6594,10486,No
Swipe,8353,90166,81813,60371,68724,No
Chip,3521,41022,37501,27264,30785,No
Online,31,38467,38436,34887,34918,No
Chip,8606,38552,29945,49467,58074,No
Chip,2790,64061,61271,9909,12699,Yes
Chip,3389,78191,74802,36615,40004,Yes
Chip,3296,32261,28965,78430,81726,No
Swipe,1600,31272,29672,50151,51751,Yes
Chip,4874,79415,74541,30428,35302,No
Chip,7102,17971,10868,15135,22237,No
Online,9689,17218,7528,13203,22892,No
Swipe,4138,50964,46826,64816,68954,Yes
Swipe,9078,42796,33718,15215,24293,Yes
Chip,8296,59322,51026,14394,22690,No
Swipe,6669,80648,73979,99333,106002,Yes
Swipe,1974,43757,41783,3139,5113,Yes
Online,8198,35364,27166,14296,22494,No
Swipe,6853,63028,56175,44365,51219,No
Chip,9558,69303,59745,1526,11083,No
Swipe,5288,61030,55742,23718,29006,No
Online,2209,42973,40764,86079,88287,Yes
Swipe,3598,91323,87725,37871,41469,No
Online,7845,81192,73347,38827,46672,No
Swipe,7739,73840,66102,20814,28553,Yes
Swipe,3217,52767,49550,94201,97419,No
Chip,8903,60251,51348,19773,28676,No
Online,5939,40101,34162,57114,63053,Yes
Swipe,7007,65772,58765,53526,60533,No
Chip,7764,48455,40691,35310,43074,Yes
Chip,237,37709,37472,31784,32021,No
Swipe,5528,10871,5343,70757,76285,No
Chip,5083,88356,83273,70970,76053,Yes
Chip,2613,12574,9961,74645,77258,Yes
Online,1484,96885,95401,8568,10052,Yes
Chip,2833,81960,79127,79984,82817,No
Online,8558,79430,70872,62596,71154,Yes
Swipe,4406,86287,81881,73669,78075,No
Online,234,12674,12440,2435,2669,No
Online,8968,56629,47660,5763,14731,Yes
Swipe,1441,66810,65368,64864,66305,No
Online,7391,76533,69141,8271,15662,Yes
Swipe,5970,85920,79949,35418,41388,No
Swipe,9024,9317,293,86337,95361,Yes
Swipe,2937,12089,9152,81290,84227,No
Online,5456,42666,37210,61902,67358,No
Swipe,7675,37740,30066,34954,42629,No
Chip,7376,90316,82940,96848,104224,No
Online,4102,4303,201,97631,101733,Yes
Swipe,108,10260,10152,29316,29424,No
Online,9023,92573,83550,4057,13079,No
Chip,8668,39653,30985,2664,11332,No
Online,7666,87149,79482,15100,22766,Yes
Online,8364,86025,77661,84589,92953,No
Swipe,9810,46534,36724,32582,42392,Yes
Chip,6933,11036,4103,32046,38978,Yes
Chip,5362,27143,21781,46046,51408,Yes
Chip,800,15293,14492,29727,30528,Yes
Swipe,6948,37695,30747,89486,96434,Yes
Online,1739,38454,36715,36538,38276,Yes
Chip,2465,43315,40850,91619,94084,No
Swipe,5710,56331,50621,67377,73087,Yes
Chip,6142,41126,34984,97820,103962,No
Online,433,10641,10208,15101,15535,Yes
Online,5146,10937,5791,31893,37039,Yes
Online,6754,18138,11384,2827,9581,No
Chip,6152,66115,59963,3493,9645,No
Online,2733,59492,56759,14469,17202,Yes
Online,8939,68425,59486,31147,40086,Yes
Chip,7275,40200,32925,29367,36642,No
Online,3171,17288,14117,59640,62811,No
Swipe,1789,93650,91860,69136,70925,Yes
Swipe,3608,17112,13505,60130,63737,Yes
Chip,2010,86245,84235,83507,85517,No
Swipe,1786,22768,20982,31524,33310,Yes
Swipe,9184,13963,4779,38281,47465,No
Chip,5190,40710,35520,46171,51361,No
Online,3471,96274,92804,60615,64086,Yes
Chip,7982,99851,91868,56450,64432,No
Swipe,4678,5601,922,97340,102019,No
Swipe,258,80390,80132,6726,6984,No
Chip,9417,36123,26705,17799,27216,No
Swipe,6329,62389,56060,63286,69615,Yes
Online,2400,97319,94919,45136,47536,Yes
Online,9819,34905,25086,71903,81721,No
Chip,2057,14950,12893,48569,50626,No
Swipe,664,60644,59979,39526,40191,Yes
Online,3220,28178,24958,94357,97577,No
Chip,8323,9063,740,68737,77060,Yes
Online,8881,50422,41540,47099,55980,Yes
Swipe,8467,86176,77709,63820,72287,No
Swipe,6712,36418,29706,3927,10639,Yes
Online,7526,94126,86600,61785,69311,No
Online,9663,64988,55325,4005,13669,No
Online,6449,18359,11910,68355,74804,Yes
Online,5958,19319,13361,88155,94112,Yes
Chip,5387,86271,80885,89272,94659,No
Online,3023,65420,62397,86007,89030,Yes
Online,7862,62193,54332,53965,61826,No
Swipe,8736,15429,6693,77654,86390,Yes
Swipe,876,41394,40518,93993,94869,No
Online,6189,51431,45242,93064,99253,No
Online,176,53363,53187,63834,64010,Yes
Online,3770,9327,5557,3495,7265,No
Chip,4152,7949,3798,89922,94074,No
Chip,4789,52097,47309,32867,37655,Yes
Online,6259,60142,53883,58822,65081,Yes
Online,3422,99782,96360,34778,38200,Yes
Chip,424,17989,17565,66777,67201,Yes
Chip,1557,9352,7796,2499,4055,Yes
Swipe,4615,11898,7282,63799,68415,No
Online,8154,13664,5510,24625,32779,No
Swipe,9356,52738,43382,48383,57739,No
Swipe,8511,66523,58012,73223,81734,No
Chip,3292,11488,8196,31785,35078,No
Chip,4248,8381,4133,42041,46290,No
Swipe,2968,83005,80037,97395,100362,No
Swipe,8253,60129,51876,97281,105534,No
Chip,5210,41580,36370,6733,11944,Yes
Online,6134,50807,44673,87584,93719,No
Chip,1839,79914,78075,14508,16347,No
Chip,5905,61757,55852,42602,48507,Yes
Chip,1749,78100,76351,77654,79403,Yes
Chip,3200,82772,79572,77733,80933,Yes
Chip,3945,37479,33534,86615,90560,No
Swipe,2253,4002,1749,1414,3667,Yes
Online,4408,16090,11682,99112,103520,Yes
Swipe,429,25787,25358,66663,67091,Yes
Online,6575,33250,26675,98848,105423,Yes
Swipe,7421,45475,38054,49392,56814,No
Online,3585,11478,7893,61785,65370,Yes
Online,8850,88647,79797,93471,102322,Yes
Swipe,9421,77798,68377,75252,84673,Yes
Swipe,6126,74185,68060,60804,66929,Yes
Online,7619,63939,56321,64184,71802,Yes
Online,5411,30146,24735,68742,74152,Yes
Online,45,59775,59729,47679,47724,No
Chip,5093,14709,9616,54532,59625,Yes
Online,69,64649,64580,34219,34288,No
Online,3584,45746,42162,68601,72185,No
Swipe,4695,79867,75172,36436,41131,Yes
Online,7221,95591,88370,9,7230,No
Chip,2817,92504,89687,21736,24553,Yes
Online,2495,95930,93436,22344,24838,Yes
Online,8271,76949,68678,75301,83572,No
Chip,403,75769,75367,99759,100162,No
Swipe,7322,34430,27107,80614,87936,Yes
Online,4241,54812,50571,65848,70089,No
Online,4848,99406,94558,10783,15631,Yes
Chip,9115,25552,16437,91863,100979,Yes
Swipe,5188,36850,31663,1142,6329,No
Swipe,3229,56071,52842,65476,68705,Yes
Chip,6119,42427,36307,63759,69878,No
Online,3500,26471,22971,93868,97369,Yes
Swipe,3938,4671,732,34120,38059,No
Swipe,7462,20630,13167,43247,50709,No
Online,346,40707,40361,5090,5435,No
Online,5020,69810,64789,96371,101392,No
Chip,1989,67767,65778,20843,22833,No
Chip,5972,21026,15054,78684,84656,No
Online,4641,77831,73190,78359,83000,No
Online,854,78378,77524,21363,22217,No
Online,9563,68009,58446,52617,62180,Yes
Swipe,2770,75172,72402,86137,88907,No
Online,5095,16941,11846,43082,48178,Yes
Online,5365,6432,1067,93087,98452,No
Online,775,30716,29941,66669,67444,Yes
Swipe,6440,30024,23584,88636,95076,No
Online,6240,97865,91625,24198,30438,No
Chip,9900,56092,46192,49099,58998,Yes
Swipe,4907,58240,53333,14500,19407,No
Swipe,5527,56921,51395,92800,98326,Yes
Chip,1689,14109,12420,99145,100834,No
Online,1165,61927,60763,46620,47785,No
Online,3689,11546,7857,21147,24836,No
Swipe,1537,69757,68221,21417,22953,No
Swipe,3393,63277,59884,2272,5665,No
Online,7775,19380,11605,38407,46181,Yes
Swipe,1898,59422,57524,43565,45463,No
Online,2256,14158,11902,34272,36528,No
Chip,1995,42060,40065,33228,35223,Yes
Swipe,3518,89860,86342,34428,37945,Yes
Swipe,2776,32861,30084,82295,85071,No
Swipe,9739,90689,80950,56153,65893,No
Swipe,4866,43293,38427,36826,41692,No
Chip,8359,28884,20525,84507,92866,Yes
Online,5794,72157,66363,74476,80270,Yes
Online,142,12566,12424,5466,5608,Yes
Online,250,8676,8427,54234,54483,Yes
Swipe,8088,19728,11640,55555,63642,No
Online,3905,34731,30825,39692,43598,Yes
Chip,5015,76921,71906,29932,34947,No
Online,4706,74128,69421,91728,96434,No
Swipe,9266,45007,35740,57489,66755,No
Online,4438,87501,83064,21305,25742,No
Online,5913,92713,86800,92766,98678,No
Chip,9663,59672,50009,58983,68645,No
Online,6047,75204,69157,63535,69582,No
Chip,7644,37358,29714,97776,105420,No
Online,1785,93092,91306,70911,72696,Yes
Swipe,5463,49430,43967,27564,33027,Yes
Online,5292,74572,69280,97514,102806,No
Swipe,2593,45330,42737,26096,28688,No
Online,7491,26486,18996,2070,9560,No
Chip,7795,53856,46061,7745,15539,Yes
Chip,9134,30139,21005,19896,29030,No
Online,1580,89533,87953,87445,89025,No
Swipe,1047,49209,48162,31268,32314,No
Chip,943,66951,66008,67772,68715,No
Chip,9233,66318,57084,44484,53717,Yes
Online,7416,25092,17676,38184,45600,No
Online,7644,40608,32964,93566,101211,Yes
Swipe,5125,62530,57405,99962,105087,No
Chip,4663,82263,77599,26733,31396,No
Chip,1637,74238,72601,72926,74563,Yes
Online,6288,50987,44699,55839,62127,No
Online,9309,98614,89304,6337,15647,No
Online,7260,10845,3586,95216,102475,Yes
Swipe,6590,42890,36300,40510,47100,Yes
Chip,8745,39608,30863,4925,13670,Yes
Chip,3140,81883,78743,73102,76243,No
Swipe,8583,26902,18319,23271,31854,Yes
Online,991,20081,19090,4776,5767,No
Chip,4810,63268,58458,31136,35946,No
Swipe,7300,50000,42700,61315,68615,No
Online,5813,26405,20592,66093,71906,No
Online,2079,51159,49080,7654,9733,No
Online,9205,42763,33559,3852,13057,No
Online,8959,9291,332,78681,87640,No
Swipe,5487,35621,30134,66762,72249,No
Chip,9855,71428,61573,48081,57936,No
Chip,3705,97979,94274,12753,16458,Yes
Swipe,7804,48095,40291,75983,83787,Yes
Chip,6317,69712,63394,26235,32553,Yes
Online,5007,81312,76305,27038,32044,No
Chip,2007,30166,28159,15148,17155,No
Online,4732,12593,7861,45506,50238,No
Chip,8859,97977,89118,71725,80584,No
Chip,3679,13859,10179,51589,55268,Yes
Online,1778,44033,42254,82337,84116,Yes
Chip,8739,49142,40403,60692,69431,Yes
Online,7351,79035,71684,79620,86971,No
Online,7313,71965,64652,6394,13707,Yes
Online,5986,34766,28781,44389,50374,No
Chip,9247,63111,53864,34689,43936,Yes
Chip,1535,51152,49617,58494,60029,Yes
Swipe,4756,51927,47171,83726,88482,No
Chip,7405,68941,61537,60588,67992,No
Chip,8345,15134,6789,21819,30164,Yes
Swipe,3488,85033,81546,11152,14640,Yes
Online,6695,40614,33919,84155,90850,No
Chip,5863,80984,75121,58720,64583,No
Chip,8557,70415,61858,82025,90582,Yes
Chip,3689,45262,41573,39149,42838,Yes
Online,4907,36081,31175,12369,17275,Yes
Chip,9500,98790,89291,84102,93601,No
Swipe,3775,27191,23416,37854,41629,Yes
Online,4847,22569,17722,86650,91496,Yes
Online,9012,80579,71566,95230,104243,No
Chip,2078,75548,73469,16096,18174,Yes
Online,5116,31427,26311,71068,76184,No
Swipe,1280,39927,38647,26735,28015,Yes
Online,5112,76487,71375,34355,39467,No
Swipe,1039,11355,10316,56329,57368,No
Chip,3870,34937,31066,42295,46165,No
Online,2307,26177,23871,1395,3702,Yes
Swipe,4909,12323,7414,75188,80097,No
Chip,4166,17296,13130,64561,68727,No
Online,5232,8544,3312,2567,7800,No
Chip,7805,68477,60672,61052,68858,No
Chip,3316,8003,4688,94748,98064,Yes
Swipe,1730,28468,26738,78952,80682,Yes
Chip,3923,82993,79070,16386,20309,Yes
Chip,4700,24294,19594,51641,56342,No
Online,3095,83903,80807,53036,56131,Yes
Online,843,97150,96307,32252,33095,Yes
Online,8491,58760,50269,83445,91936,Yes
Online,9233,34450,25216,61953,71186,No
Online,1396,29044,27648,79182,80578,No
Online,3976,88623,84646,4830,8806,Yes
Chip,8995,74920,65925,15302,24297,Yes
Online,6658,16980,10323,73825,80483,No
Swipe,6925,70436,63511,97352,104277,No
Online,5288,63723,58435,40942,46229,No
Swipe,8201,69107,60906,52415,60617,No
Online,2690,89534,86843,30326,33017,Yes
Swipe,2358,38404,36045,27472,29830,No
Online,7249,49167,41918,28889,36139,No
Online,4178,69157,64979,12876,17053,No
Chip,5986,26039,20054,62898,68883,Yes
Online,1943,15915,13972,87164,89107,No
Chip,6369,92618,86249,84777,91146,No
Swipe,2439,6589,4150,61955,64394,Yes
Chip,9425,61363,51938,77775,87200,Yes
Online,8585,79994,71409,69521,78106,Yes
Chip,6902,30578,23676,10441,17343,Yes
Online,5910,98805,92895,8657,14567,Yes
Swipe,3783,42752,38969,97943,101726,No
Chip,95,35983,35888,9922,10017,Yes
Online,9098,51492,42394,1462,10561,No
Chip,2430,47320,44890,47414,49844,Yes
Chip,6293,74696,68403,66491,72784,Yes
Chip,7994,75975,67981,96905,104899,No
Chip,5127,32848,27721,10783,15910,Yes
Online,3292,30812,27520,67311,70603,No
Swipe,1917,15231,13315,42269,44185,Yes
Chip,7642,88901,81259,91862,99504,No
Online,1191,9040,7850,22185,23375,No
Online,9487,85729,76241,68002,77489,No
Online,6393,8763,2370,36734,43128,Yes
Online,4461,14941,10479,1992,6453,Yes
Online,5992,34460,28467,26725,32717,No
Online,237,43547,43311,49356,49592,Yes
Online,6809,69025,62216,38057,44866,No
Online,6847,23511,16664,41551,48398,No
Swipe,8964,18698,9734,58671,67634,Yes
Chip,6466,46159,39694,94916,101382,No
Chip,3746,95129,91383,31226,34973,Yes
Swipe,9536,79224,69689,1249,10785,Yes
Chip,7766,96138,88373,12310,20076,No
Chip,3310,25117,21808,30763,34073,Yes
Swipe,4745,86127,81382,59151,63896,Yes
Chip,1887,99165,97278,99002,100889,Yes
Swipe,5075,51020,45945,67546,72621,No
Online,4341,56307,51966,91680,96021,No
Online,4607,78172,73564,82097,86704,No
Online,2024,12512,10489,86380,88403,No
Swipe,5147,48889,43742,85944,91091,Yes
Chip,935,61327,60392,31838,32773,No
Swipe,2204,57420,55217,64607,66810,Yes
Swipe,5184,73266,68082,12750,17934,No
Swipe,3071,16850,13779,42279,45350,No
Chip,2311,86804,84493,18838,21149,No
Chip,8238,85111,76873,47547,55784,No
Swipe,1508,65386,63879,43283,44791,Yes
Online,6879,20539,13659,72560,79440,Yes
Chip,4884,18014,13130,26966,31850,Yes
Chip,8612,60966,52354,61704,70316,Yes
Online,6348,13633,7285,4257,10606,No
Online,8450,60579,52129,93974,102424,No
Chip,26,17474,17448,79402,79427,No
Chip,6591,87853,81262,70694,77286,No
Swipe,8653,37414,28761,85935,94589,Yes
Chip,3469,71990,68521,97747,101216,Yes
Swipe,3920,38554,34634,55111,59031,No
Swipe,8970,82406,73436,61953,70923,No
Online,5026,10103,5077,99796,104822,Yes
Online,1533,37106,35574,48725,50257,Yes
Swipe,5870,20830,14960,81469,87339,Yes
Online,8239,21307,13069,2108,10347,No
Chip,3290,38804,35515,39311,42601,Yes
Swipe,749,97832,97082,698,1448,No
Online,4367,94929,90562,94373,98740,Yes
Online,8422,30755,22333,661,9083,No
Swipe,8290,59160,50870,56822,65112,Yes
Chip,9973,10342,369,77595,87568,No
Online,2044,16304,14261,51054,53098,No
Chip,326,28727,28401,44418,44744,No
Online,4437,38813,34376,10302,14739,No
Swipe,7671,70384,62713,37326,44997,No
Online,5865,98357,92492,44261,50126,No
Swipe,9348,15959,6611,14137,23485,No
Swipe,3482,22548,19066,10228,13710,No
Chip,2211,13092,10881,31501,33712,Yes
Swipe,9503,27139,17636,38092,47595,Yes
Swipe,1025,67028,66003,36408,37433,Yes
Swipe,8916,91947,83031,56107,65023,No
Chip,9035,13736,4701,70327,79362,No
Online,4441,21751,17310,8696,13137,Yes
Swipe,7409,25164,17756,4455,11864,No
Online,2890,3623,734,86101,88991,Yes
Chip,2702,13117,10415,87925,90626,Yes
Online,5319,6992,1674,31402,36721,No
Chip,1154,71226,70072,5645,6799,No
Swipe,5748,30147,24399,78352,84099,Yes
Swipe,6816,94211,87395,52850,59666,No
Swipe,1141,57367,56225,54022,55163,Yes
Swipe,5040,70235,65194,39659,44699,Yes
Swipe,3967,78329,74362,30735,34702,Yes
Swipe,842,57548,56706,37046,37888,No
Chip,1112,3033,1921,6617,7729,Yes
Swipe,8465,74220,65755,12716,21182,No
Online,938,24303,23365,23116,24054,No
Online,5670,45554,39884,80523,86193,No
Swipe,658,59864,59206,88135,88793,Yes
Chip,8602,76747,68144,68408,77010,No
Swipe,1239,61372,60133,21077,22315,Yes
Swipe,3857,69245,65388,7374,11230,Yes
Chip,5906,25533,19626,16211,22117,Yes
Swipe,5466,67039,61573,1787,7253,Yes
Online,3063,83534,80471,62737,65799,No
Swipe,8588,21772,13184,58937,67525,No
Online,5133,93648,88515,44300,49433,Yes
Swipe,5705,71184,65479,36863,42569,No
Chip,4012,40207,36195,28373,32384,No
Chip,4039,72619,68581,27317,31356,No
Chip,5545,55391,49846,45892,51437,No
Swipe,373,72483,72110,55409,55782,Yes
Chip,2764,55899,53134,58203,60967,Yes
Online,6223,67917,61694,81932,88156,No
Online,8543,65220,56676,58337,66881,No
Chip,6741,70797,64056,58446,65186,No
Online,9741,45348,35607,32379,42120,Yes
Swipe,3310,43279,39969,13192,16502,Yes
Chip,7127,55066,47939,21989,29115,No
Chip,2212,60566,58354,23196,25408,No
Swipe,259,65607,65348,6654,6913,No
Online,8846,31978,23131,27249,36095,Yes
Chip,7269,11252,3983,98830,106099,No
Online,9209,82296,73087,65605,74814,Yes
Swipe,7223,78261,71039,76266,83489,Yes
Swipe,4248,84011,79763,72034,76282,No
Online,583,7640,7057,33488,34071,No
Swipe,8603,23950,15347,73655,82258,Yes
Chip,2586,54620,52034,58063,60649,Yes
Swipe,7846,80305,72459,116,7962,No
Chip,5905,20899,14994,15442,21348,No
Chip,2528,48417,45889,85937,88465,No
Chip,3682,61396,57715,53295,56977,No
Chip,3038,79145,76107,47189,50227,No
Chip,5987,84864,78878,40911,46898,Yes
Swipe,7256,51906,44650,52688,59945,Yes
Chip,485,8056,7572,68111,68595,Yes
Swipe,4969,9521,4552,53158,58127,Yes
Online,6860,93421,86561,82171,89031,Yes
Swipe,1332,80023,78691,59317,60649,Yes
Swipe,3651,7959,4308,66847,70498,Yes
Swipe,4306,44486,40180,50306,54613,Yes
Chip,5857,13241,7384,2626,8482,No
Swipe,9427,40315,30888,85022,94449,Yes
Chip,9083,39414,30331,41701,50784,No
Online,5653,58050,52397,46769,52422,Yes
Chip,103,64042,63939,60468,60571,No
Chip,4445,10043,5597,50360,54806,No
Chip,3216,64404,61188,47933,51149,Yes
Online,3745,24395,20650,44883,48628,No
Chip,9035,91685,82650,90047,99082,Yes
Swipe,1617,66983,65366,13733,15350,No
Swipe,4057,25089,21032,55348,59405,Yes
Online,9129,18623,9493,48138,57267,Yes
Swipe,6903,65367,58464,30145,37048,Yes
Chip,3382,36041,32660,37895,41277,No
Online,2987,80289,77302,44829,47817,Yes
Online,1129,56326,55197,70876,72005,No
Online,5072,31456,26385,65466,70538,Yes
Online,9214,55358,46144,47025,56239,No
Swipe,7356,34672,27316,84899,92255,Yes
Swipe,2586,44760,42174,91864,94451,Yes
Online,9478,43820,34342,43975,53453,No
Online,4487,62269,57782,37938,42425,No
Online,9054,64244,55190,79769,88823,No
Online,8832,77593,68761,87610,96442,No
Chip,8541,84312,75772,72001,80542,Yes
Swipe,7727,98125,90398,48050,55777,Yes
Swipe,2691,93387,90696,724,3415,Yes
Swipe,2082,85811,83729,61418,63500,No
Online,2493,9833,7340,58046,60539,Yes
Chip,316,90754,90437,93148,93465,Yes
Swipe,4255,28822,24566,92530,96785,Yes
Chip,7756,23807,16051,76778,84534,Yes
Online,262,31910,31648,17597,17859,No
Chip,1305,24763,23458,21679,22984,No
Chip,5091,29732,24640,87443,92535,Yes
Chip,420,5938,5518,36702,37122,Yes
Chip,5753,36320,30568,10818,16571,Yes
Chip,8905,47612,38707,77437,86342,No
Swipe,2818,79120,76302,51014,53832,Yes
Swipe,566,96379,95813,99202,99768,Yes
Chip,8134,69029,60894,49904,58039,No
Swipe,8293,20966,12672,79678,87972,Yes
Swipe,2752,36345,33593,54895,57647,Yes
Chip,6528,42631,36103,92644,99172,No
Swipe,7869,81005,73136,82413,90283,Yes
Swipe,3084,81693,78610,76305,79388,Yes
Online,8033,49064,41030,1820,9854,Yes
Chip,2831,58865,56034,20561,23392,No
Online,2482,6317,3834,50470,52953,Yes
Swipe,2930,79274,76344,65303,68233,Yes
Chip,6948,78052,71104,81882,88830,No
Chip,493,98668,98175,62446,62939,No
Swipe,5224,85322,80098,20881,26105,No
Swipe,5646,54792,49146,66008,71654,Yes
Online,867,53050,52183,62742,63609,No
Chip,7805,33971,26166,38375,46180,No
Chip,6210,48921,42710,18210,24420,Yes
Online,1568,34574,33006,78374,79942,Yes
Chip,9749,45976,36227,40281,50030,No
Swipe,3509,59424,55915,62617,66126,Yes
Chip,6231,84162,77931,31789,38020,Yes
Online,5128,88294,83166,96860,101988,No
Chip,7389,87148,79759,94554,101943,No
Online,729,96857,96128,36314,37043,Yes
Swipe,5950,61773,55823,65570,71520,Yes
Online,60,48810,48750,44479,44539,No
Chip,2933,55867,52934,5336,8269,No
Chip,6494,74200,67706,10195,16690,Yes
Swipe,9474,76361,66887,27853,37327,No
Online,8665,43283,34617,13993,22658,Yes
Online,1890,56500,54610,46529,48419,Yes
Swipe,7964,26712,18748,61716,69680,Yes
Online,4393,53131,48738,27228,31621,Yes
Online,9831,97047,87216,68150,77982,No
Chip,891,22910,22019,3656,4547,Yes
Swipe,3507,63214,59707,1930,5437,Yes
Online,7179,64453,57274,29626,36805,No
Chip,6307,58300,51993,93987,100295,Yes
Online,5069,64789,59720,27910,32979,Yes
Swipe,7767,39184,31417,45285,53052,Yes
Swipe,284,5693,5408,48189,48473,No
Swipe,541,62718,62177,49506,50047,Yes
Swipe,5929,70664,64735,86445,92373,Yes
Swipe,5717,93340,87623,86238,91955,No
Swipe,6727,20038,13311,47514,54242,No
Online,8706,39731,31025,33001,41708,Yes
Chip,8096,26997,18901,81842,89938,No
Chip,364,94853,94490,38500,38863,Yes
Swipe,2537,20496,17959,83798,86335,Yes
Swipe,9354,27438,18084,44073,53427,Yes
Online,926,86839,85912,48150,49076,Yes
Online,6961,50203,43241,82980,89941,Yes
Chip,9410,91522,82111,36754,46164,No
Chip,660,6466,5806,65326,65986,No
Chip,4662,45116,40455,65875,70536,Yes
Swipe,593,8763,8170,19749,20342,Yes
Online,7100,96396,89296,73865,80965,No
Swipe,6832,51018,44187,34076,40908,Yes
Swipe,6121,53295,47175,58957,65077,Yes
Swipe,2189,39964,37775,52116,54305,No
Chip,8215,36691,28476,55201,63416,Yes
Online,7368,64460,57092,89265,96634,No
Chip,1486,56312,54827,95061,96547,No
Swipe,5854,39711,33858,79042,84896,No
Chip,1330,46714,45384,21544,22874,No
Online,5889,80701,74812,27941,33831,Yes
Chip,8212,28824,20612,76810,85022,No
Chip,783,8252,7469,55024,55808,No
Swipe,1334,40762,39428,61415,62749,No
Online,2952,10179,7227,51234,54185,Yes
Online,4723,7702,2979,85536,90260,Yes
Online,786,23638,22852,17470,18256,No
Online,6105,46384,40280,19596,25701,No
Online,9467,85087,75620,77671,87138,Yes
Swipe,7882,34273,26391,38514,46396,No
Online,4591,97518,92926,45853,50444,Yes
Swipe,8284,81595,73311,8864,17148,No
Online,9095,23349,14254,6473,15568,Yes
Chip,5935,38127,32192,74053,79988,No
Chip,6483,8702,2218,77873,84357,No
Chip,2084,71338,69254,63232,65317,Yes
Swipe,1393,11066,9673,7552,8945,Yes
Chip,8324,41422,33098,56041,64365,No
Chip,623,93014,92391,86056,86679,Yes
Chip,7407,57507,50100,59106,66513,Yes
Chip,1107,44995,43888,6977,8084,Yes
Online,7404,9405,2001,16976,24380,No
Chip,8908,91251,82343,50076,58984,No
Chip,6484,21033,14549,3524,10008,No
Swipe,8208,58136,49928,34530,42738,Yes
Chip,1033,37053,36021,54506,55539,No
Online,773,77559,76786,58238,59011,No
Chip,8040,39946,31906,55290,63331,Yes
Swipe,5284,67009,61725,86652,91936,No
Online,7550,64220,56669,50167,57718,Yes
Online,9250,50438,41188,14177,23426,No
Online,8319,81263,72944,95242,103561,No
Chip,9235,59238,50003,47032,56267,Yes
Swipe,9648,17957,8309,14452,24099,No
Chip,7735,31049,23314,71364,79099,No
Chip,6442,87614,81172,69989,76432,Yes
Chip,1448,19362,17914,74540,75988,No
Swipe,2868,85801,82933,86200,89068,No
Swipe,6873,29588,22715,75704,82577,Yes
Swipe,4241,38476,34235,7768,12009,No
Chip,4364,68295,63931,34707,39071,No
Chip,9337,26679,17342,64723,74060,Yes
Swipe,1230,41492,40262,53035,54265,No
Chip,8555,58217,49662,37319,45874,Yes
Online,6986,84916,77929,93488,100474,Yes
Online,8551,11090,2538,68848,77399,Yes
Online,5794,55294,49500,86856,92650,Yes
Chip,5634,23957,18323,17586,23220,Yes
Swipe,1045,68141,67096,73018,74064,No
Online,7767,47522,39755,31288,39055,Yes
Online,438,40743,40305,50398,50835,Yes
Chip,9164,50580,41417,43495,52659,Yes
Chip,606,65262,64656,30115,30721,Yes
Chip,8141,88471,80331,88954,97094,Yes
Chip,1941,45772,43830,64258,66199,Yes
Swipe,314,4962,4648,39071,39385,No
